 Morbidade Hospitalar do SUS - por local de internação - Brasil
Internações por Ano atendimento e Unidade da Federação
Lista Morb  CID-10: Febre amarela
Período:Jan/2008-Abr/2021
"Ano atendimento";"RO";"AM";"PA";"AP";"TO";"MA";"PI";"CE";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"2007";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;3
"2008";-;13;2;-;-;-;-;2;1;3;-;-;1;4;1;-;5;2;1;3;2;1;-;1;42
"2009";-;13;2;1;-;-;-;1;-;5;-;-;1;3;3;1;21;1;-;8;-;-;-;1;61
"2010";-;13;2;-;-;-;-;-;-;3;2;-;1;3;-;1;1;-;-;2;1;-;-;3;32
"2011";-;3;-;-;-;1;-;2;-;4;-;-;-;1;1;1;2;2;-;2;-;-;2;-;21
"2012";-;-;-;4;1;-;-;-;-;9;-;-;-;1;1;-;2;-;-;2;-;-;-;-;20
"2013";-;-;1;1;-;-;-;-;-;2;-;-;-;4;-;1;-;1;-;-;-;-;-;-;10
"2014";-;2;-;-;-;-;-;-;-;2;-;-;-;2;-;-;1;1;-;1;-;-;-;-;9
"2015";-;1;1;1;-;1;-;1;-;2;-;-;1;2;-;1;1;2;-;-;-;-;-;-;14
"2016";-;3;-;-;-;12;-;-;-;3;-;-;1;6;-;-;1;2;-;-;-;-;1;-;29
"2017";-;-;3;1;1;3;-;-;-;12;1;-;1;484;210;13;15;8;2;-;1;-;2;1;758
"2018";1;-;2;-;-;1;-;-;-;7;-;1;4;599;4;90;277;1;6;2;1;-;-;-;996
"2019";-;-;1;-;-;-;-;-;-;17;-;-;1;5;1;2;51;11;-;1;-;-;-;1;91
"2020";-;1;1;-;-;-;3;-;-;11;-;-;-;6;-;-;-;1;23;1;-;-;1;-;48
"2021";-;-;-;-;-;-;-;1;-;4;-;-;-;-;-;1;-;-;4;-;-;-;-;-;10
"Total";1;50;15;8;2;18;3;7;1;84;3;1;11;1120;221;111;378;32;36;22;5;1;7;7;2144
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
