 Morbidade Hospitalar do SUS - por local de internação - Brasil
Internações por Ano processamento e Unidade da Federação
Lista Morb  CID-10: Febre amarela
Período:1984-2007
"Ano processamento";"RO";"AC";"AM";"PA";"AP";"TO";"MA";"PI";"CE";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"1998";-;3;7;1;2;-;1;-;1;-;-;-;-;23;10;-;-;3;1;2;-;-;-;1;1;56
"1999";1;1;2;7;2;1;-;1;-;1;-;-;1;9;4;-;-;3;1;-;2;-;-;1;-;37
"2000";-;-;1;3;-;2;1;1;-;-;-;-;-;3;3;-;1;8;-;2;-;-;5;4;8;42
"2001";-;1;-;-;-;1;3;1;-;1;-;-;2;7;18;2;1;6;-;2;2;-;-;-;1;48
"2002";-;1;1;1;-;1;-;-;-;-;-;-;-;2;4;1;6;1;1;2;1;-;1;-;1;24
"2003";-;-;1;1;1;2;1;-;-;1;-;1;-;5;60;-;2;1;-;-;-;-;1;2;-;79
"2004";-;-;-;2;-;-;-;-;1;-;2;-;-;2;3;-;-;1;2;-;-;-;2;-;-;15
"2005";1;-;-;2;-;-;-;1;-;1;-;-;-;3;1;1;-;6;1;-;1;1;-;1;1;21
"2006";-;-;-;1;-;1;-;-;-;-;-;-;-;2;2;1;1;4;2;-;-;-;-;1;-;15
"2007";-;-;-;1;-;-;4;-;-;-;-;-;-;2;1;2;1;1;-;1;-;-;-;3;-;16
"Total";2;6;12;19;5;8;10;4;2;4;2;1;3;58;106;7;12;34;8;9;6;1;9;13;12;353
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
