 População Residente - Estimativas para o TCU - Brasil
População estimada por Ano e Unidade da Federação
Período:1992-1995, 1997-2019
"Ano";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"1992";1190739;428006;2165852;228749;5328133;299305;946604;4990749;2610476;6433713;2448267;3229163;7187355;2548092;1515142;12014023;15941939;2649747;12916705;32126058;8511279;4614268;9249199;1818175;2107698;4098513;1639035;149236984
"1993";1241693;437495;2217600;241099;5212812;308787;970259;5088898;2657415;6549847;2503463;3274323;7295118;2604394;1551633;12278027;16144856;2698687;13065279;32701353;8587901;4697277;9370531;1850162;2178178;4171489;1673151;151571727
"1994";1291214;446480;2269555;251783;5332187;317597;990760;5160974;2691615;6633080;2543397;3307583;7371110;2645417;1578782;12464316;16327360;2743243;13182301;33206755;8651138;4767826;9475871;1881868;2246757;4240812;1705889;153725670
"1995";1339507;455242;2320221;262201;5448598;326188;1007041;5231261;2724967;6714246;2582339;3340018;7445216;2685421;1605257;12645982;16505334;2786692;13296419;33699614;8712805;4836624;9578597;1912788;2313634;4308415;1737813;155822440
"1997";1255522;500185;2460602;254499;5650681;401916;1080753;5295452;2695876;6920292;2594340;3331673;7466773;2663071;1657164;12709744;16904977;2853098;13555657;34752225;9142215;4958339;9762110;1964603;2287846;4639785;1877015;159636413
"1998";1276173;514050;2520684;260705;5768476;420834;1107803;5356853;2714999;7013376;2624397;3353624;7523755;2688117;1684953;12851268;17100314;2895547;13681410;35284072;9258813;5028339;9866928;1995578;2331663;4744174;1923406;161790311
"1999";1296856;527937;2580860;266922;5886454;439781;1134895;5418349;2734152;7106605;2654501;3375609;7580826;2713203;1712786;12993011;17295955;2938062;13807358;35816740;9375592;5098448;9971910;2026600;2375549;4848725;1969868;163947554
"2000";1317614;541873;2641251;273160;6004854;458796;1162085;5480066;2753373;7200167;2684712;3397673;7638101;2738378;1740719;13135262;17492296;2980729;13933756;36351316;9492790;5168808;10077267;2057734;2419591;4953650;2016497;166112518
"2001";1407886;574355;2900240;337237;6341736;498735;1184895;5730467;2873010;7547620;2815244;3468594;8008207;2856629;1817301;13214114;18127096;3155016;14558545;37630106;9694709;5448736;10309819;2111036;2560584;5116462;2097447;172385826
"2002";1431777;586942;2961801;346871;6453683;516511;1207014;5803224;2898223;7654535;2852784;3494893;8084667;2887535;1846039;13323212;18343517;3201722;14724475;38177742;9798006;5527707;10408540;2140624;2604742;5210335;2145839;174632960
"2003";1455907;600595;3031068;357302;6574993;534835;1230181;5873655;2923725;7758441;2888058;3518595;8161862;2917664;1874613;13435612;18553312;3250219;14879118;38709320;9906866;5607233;10510992;2169688;2651335;5306459;2189789;176871437
"2004";1562085;630328;3138726;381896;6850181;547400;1262644;6021504;2977259;7976563;2962107;3568350;8323911;2980910;1934596;13682074;18993720;3352024;15203750;39825226;10135388;5774178;10726063;2230702;2749145;5508245;2282049;181581024
"2005";1534594;669736;3232330;391317;6970586;594587;1305728;6103327;3006885;8097276;3003087;3595886;8413593;3015912;1967791;13815334;19237450;3408365;15383407;40442795;10261856;5866568;10845087;2264468;2803274;5619917;2333108;184184264
"2006";1562417;686652;3311026;403344;7110465;615715;1332441;6184538;3036290;8217085;3043760;3623215;8502603;3050652;2000738;13950146;19479356;3464285;15561720;41055734;10387378;5958266;10963219;2297981;2856999;5730753;2383784;186770562
"2007";1453756;655385;3221940;395725;7090378;587311;1243627;6118995;3032435;8185250;3013740;3641397;8486638;3037231;1939426;14080670;19273533;3351669;15420450;39827690;10284503;5866487;10582887;2265813;2854642;5647035;2455903;184014516
"2008";1493566;680073;3341096;412783;7321493;613164;1280509;6305539;3119697;8450527;3106430;3742606;8734194;3127557;1999374;14502575;19850072;3453648;15872362;41011635;10590169;6052587;10855214;2336058;2957732;5844996;2557158;189612814
